date,Open Price,High Price,Low Price,Close Price,Adj Close Price
12/23/2020,398.36,421.78,413.53,427.43,51904.630000000005
12/24/2020,431.09000000000003,425.26,430.21000000000004,434.98,65842.39
12/25/2020,408.09000000000003,430.19,405.9,425.64,51157.53
12/26/2020,439.14,417.56,430.11,441.26,58966.92
12/27/2020,408.73,446.05,411.98,402.6,60425.130000000005
12/28/2020,439.71000000000004,400.13,410.9,430.78,65414.46
12/29/2020,400.67,402.97,446.02,416.97,61789.0
12/30/2020,432.06,432.70000000000005,408.22,442.55,48882.89
12/31/2020,429.62,404.78999999999996,401.81,427.69,58243.08
1/1/2021,404.96000000000004,412.13,417.83000000000004,432.37,63743.78
1/2/2021,423.76,434.43,407.5,434.83000000000004,48622.33
1/3/2021,417.71000000000004,439.58000000000004,433.3,410.82,55389.26
1/4/2021,422.17,418.82,414.65999999999997,419.72,48249.97
1/5/2021,403.17,399.83000000000004,445.39,404.5,55691.49
1/6/2021,411.75,414.99,429.24,400.03999999999996,66674.84
1/7/2021,423.34000000000003,432.17,432.09000000000003,401.75,68255.6
1/8/2021,397.42,397.28999999999996,429.12,426.38,59332.020000000004
1/9/2021,437.21000000000004,442.98,396.35,440.22,63615.270000000004
1/10/2021,439.9,429.31,445.78,408.3,59799.56
1/11/2021,444.06,410.06,444.78999999999996,411.83000000000004,68248.27
1/12/2021,413.21000000000004,442.07,418.70000000000005,407.71000000000004,66058.04000000001
1/13/2021,423.97,424.05,400.61,432.89,65324.05
1/14/2021,421.46000000000004,433.3,403.75,439.76,62585.01
1/15/2021,408.06,418.03999999999996,394.26,428.90999999999997,55700.450000000004
1/16/2021,431.6,426.35,436.8,424.09000000000003,65737.66
1/17/2021,429.98,419.9,439.24,425.95000000000005,58969.0
1/18/2021,412.8,440.65999999999997,420.4,434.28,62265.54
1/19/2021,396.67,435.31,405.3,395.24,47336.26
1/20/2021,423.15999999999997,437.03999999999996,439.59000000000003,405.69,61313.130000000005
1/21/2021,426.15999999999997,404.95000000000005,414.05,439.65,61816.42
1/22/2021,403.56,423.61,410.57,430.75,52184.64
1/23/2021,413.02,427.15,411.62,424.53999999999996,65182.590000000004
1/24/2021,438.97,416.02,411.77,423.86,59390.26
1/25/2021,406.42,434.75,437.97,399.5,66340.63
1/26/2021,409.53,393.17,399.61,435.78,49121.48
1/27/2021,398.18,427.33000000000004,423.94,412.45000000000005,56554.66
1/28/2021,420.09000000000003,420.44,432.89,440.6,47146.4
1/29/2021,401.39,404.15999999999997,397.6,441.07,52500.86
1/30/2021,422.08000000000004,405.25,403.01,427.28,63883.03
1/31/2021,407.94,437.1,434.49,395.52,68110.56
2/1/2021,407.39,418.43,392.96000000000004,408.36,65990.33
2/2/2021,415.28999999999996,412.57,430.97,428.75,59227.12
2/3/2021,420.85,428.12,402.12,406.52,54128.200000000004
2/4/2021,392.52,420.39,408.33000000000004,406.83000000000004,46547.590000000004
2/5/2021,429.23,430.65999999999997,395.0,390.8,65502.3
2/6/2021,417.28,426.23,407.13,392.58000000000004,60202.24
2/7/2021,395.93,402.74,424.14,437.78,54822.700000000004
2/8/2021,408.59000000000003,423.39,439.8,396.47,59484.83
2/9/2021,422.8,419.55,432.34000000000003,408.77,52099.75
2/10/2021,436.81,438.95000000000005,436.0,406.6,66624.16
2/11/2021,428.99,417.47,405.58000000000004,425.23,55191.44
2/12/2021,419.95000000000005,418.81,411.89,435.49,66080.94
2/13/2021,403.06,435.96000000000004,405.26,394.08000000000004,64077.23
2/14/2021,404.82,424.20000000000005,414.38,402.89,48740.64
2/15/2021,429.39,418.65999999999997,423.38,405.70000000000005,57756.700000000004
2/16/2021,437.65,423.08000000000004,419.28,399.36,66467.02
2/17/2021,432.32,434.8,400.45000000000005,420.99,60195.61
2/18/2021,394.06,396.57,420.0,401.28,58643.35
2/19/2021,417.15,437.28,411.78999999999996,409.33000000000004,60682.14
2/20/2021,410.93,437.45000000000005,436.23,404.38,48932.29
2/21/2021,417.08000000000004,387.21000000000004,434.05,428.62,55375.590000000004
2/22/2021,412.42,417.27,426.3,418.03,57742.020000000004
2/23/2021,414.76,412.92,392.8,424.61,54623.630000000005
2/24/2021,389.4,412.74,409.86,424.78,61248.46
2/25/2021,432.73,417.33000000000004,401.68,409.49,49583.72
